FeatureCode,DateCode,Measurement,Units,Value,Scottish Health Survey Indicator,Sex
S08000017,2016-2019,Percent,Percent Of Adults,68,Overweight: Overweight (including obese),Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,40,Obesity: Obese,Female
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,7.6,Summary activity levels: Some activity,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,63.8,Obesity: Not obese,Female
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,40,Obesity: Obese,Female
S12000049,2016-2019,Percent,Percent Of Adults,68,Obesity: Not obese,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,71.4,Obesity: Not obese,Female
S08000017,2015-2018,Percent,Percent Of Adults,64,Summary activity levels: Meets recommendations,Female
S08000017,2015-2018,95% Upper Confidence Limit,Percent Of Adults,79.2,Self-assessed general health: Very good/Good,Female
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,31.3,General health questionnaire (GHQ-12): Score 1-3,Female
S08000017,2016-2019,95% Upper Confidence Limit,WEMWBS Score,50.3,Mental wellbeing,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,50.4,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000017,2016-2019,Mean,WEMWBS Score,49.1,Mental wellbeing,Female
S12000049,2016-2019,Percent,Percent Of Adults,45,General health questionnaire (GHQ-12): Score 0,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,85.8,E-cigarette use: Never used,Female
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,35.1,Life satisfaction: Mode (8),Female
S12000049,2016-2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Female
S12000049,2016-2019,Percent,Percent Of Adults,32,Obesity: Obese,Female
S12000006,2015-2018,Percent,Percent Of Adults,33,Obesity: Obese,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,20.9,Alcohol consumption: Non-drinker,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,28.6,Obesity: Obese,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,36.2,Obesity: Obese,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,25.5,Obesity: Obese,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,67,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,53.4,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000006,2015-2018,Percent,Percent Of Adults,75,Alcohol consumption: Moderate drinker,Female
S12000049,2015-2018,Percent,Percent Of Adults,24,Alcohol consumption: Non-drinker,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,26.9,Alcohol consumption: Non-drinker,Female
S12000006,2016-2019,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000017,2015-2018,Percent,Percent Of Adults,33,Obesity: Obese,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,75.7,Doctor-diagnosed asthma: No,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,12.8,Self-assessed general health: Bad/Very bad,Female
S12000049,2016-2019,Percent,Percent Of Adults,63,Overweight: Overweight (including obese),Female
S08000017,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.4,Life satisfaction: Mode (8),Female
S12000006,2016-2019,Percent,Percent Of Adults,81,Doctor-diagnosed asthma: No,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,29.8,Alcohol consumption: Non-drinker,Female
S12000049,2016-2019,Percent,Percent Of Adults,26,Alcohol consumption: Non-drinker,Female
S12000006,2015-2018,Percent,Percent Of Adults,31,Overweight: Not overweight or obese,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,23.2,Alcohol consumption: Non-drinker,Female
S08000017,2015-2018,Percent,Percent Of Adults,73,Fruit & vegetable consumption: Less than 5 portions,Female
S08000017,2016-2019,95% Lower Confidence Limit,Portions of fruit & vegetables,3,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,35.2,General health questionnaire (GHQ-12): Score 1-3,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,6.9,E-cigarette use: Ever previously used,Female
S08000017,2016-2019,Percent,Percent Of Adults,7,Fruit & vegetable consumption: None,Female
S12000049,2015-2018,95% Upper Confidence Limit,Units of alcohol,9.7,Alcohol consumption (mean weekly units),Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,18.3,E-cigarette use: Ever previously used,Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,18.7,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000049,2015-2018,Percent,Percent Of Adults,17,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,14.1,Any cardiovascular condition: Has a cardiovascular condition,Female
S12000006,2015-2018,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Female
S12000049,2015-2018,95% Lower Confidence Limit,Units of alcohol,7.2,Alcohol consumption (mean weekly units),Female
S12000049,2015-2018,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 4+,Female
S08000019,2016-2019,95% Upper Confidence Limit,WEMWBS Score,50.4,Mental wellbeing,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,23.8,Smoking status: Current smoker,Female
S12000049,2015-2018,Mean,Units of alcohol,8.5,Alcohol consumption (mean weekly units),Female
S12000006,2015-2018,Percent,Percent Of Adults,19,Fruit & vegetable consumption: 5 portions or more,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,41.1,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000049,2016-2019,95% Upper Confidence Limit,Percent Of Adults,59.8,Summary activity levels: Meets recommendations,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,74,E-cigarette use: Never used,Female
S12000049,2016-2019,Percent,Percent Of Adults,45,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S12000006,2016-2019,Percent,Percent Of Adults,13,E-cigarette use: Ever previously used,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,13.2,Fruit & vegetable consumption: 5 portions or more,Female
S08000019,2015-2018,95% Lower Confidence Limit,Percent Of Adults,29.6,Overweight: Not overweight or obese,Female
S08000019,2015-2018,95% Upper Confidence Limit,Percent Of Adults,41,Overweight: Not overweight or obese,Female
S12000049,2016-2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,11.3,E-cigarette use: Currently using,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,85.4,E-cigarette use: Never used,Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,13.6,Any cardiovascular condition: Has a cardiovascular condition,Female
S08000019,2015-2018,Percent,Percent Of Adults,35,Overweight: Not overweight or obese,Female
S08000019,2016-2019,95% Lower Confidence Limit,WEMWBS Score,48.7,Mental wellbeing,Female
S08000019,2015-2018,Percent,Percent Of Adults,7,Summary activity levels: Low activity,Female
S08000019,2016-2019,95% Lower Confidence Limit,Percent Of Adults,8.4,Summary activity levels: Some activity,Female
S12000049,2015-2018,Percent,Percent Of Adults,56,Summary activity levels: Meets recommendations,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,3.3,Fruit & vegetable consumption: None,Female
S12000049,2015-2018,95% Upper Confidence Limit,Portions of fruit & vegetables,3.6,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2015-2018,95% Lower Confidence Limit,Portions of fruit & vegetables,3.2,Fruit & vegetable consumption (mean daily portions),Female
S12000049,2015-2018,Mean,Portions of fruit & vegetables,3.4,Fruit & vegetable consumption (mean daily portions),Female
S12000006,2016-2019,Percent,Percent Of Adults,80,E-cigarette use: Never used,Female
S12000006,2015-2018,95% Upper Confidence Limit,Percent Of Adults,24.5,Fruit & vegetable consumption: 5 portions or more,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,64.6,General health questionnaire (GHQ-12): Score 0,Female
S12000006,2015-2018,Percent,Percent Of Adults,57,Smoking status: Never smoked/Used to smoke occasionally,Female
S12000049,2015-2018,95% Lower Confidence Limit,Percent Of Adults,52.2,Summary activity levels: Meets recommendations,Female
S12000049,2015-2018,95% Upper Confidence Limit,Percent Of Adults,59.2,Summary activity levels: Meets recommendations,Female
S12000006,2016-2019,95% Lower Confidence Limit,Percent Of Adults,36,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000049,2016-2019,95% Lower Confidence Limit,Percent Of Adults,52.5,Summary activity levels: Meets recommendations,Female
S12000006,2015-2018,Percent,Percent Of Adults,79,E-cigarette use: Never used,Female
S12000049,2016-2019,Percent,Percent Of Adults,17,Doctor-diagnosed asthma: Yes,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,49.6,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,75.5,Overweight: Overweight (including obese),Female
S08000017,2015-2018,95% Lower Confidence Limit,Percent Of Adults,57.9,Summary activity levels: Meets recommendations,Female
S12000006,2016-2019,95% Upper Confidence Limit,Percent Of Adults,9.7,Fruit & vegetable consumption: None,Female
S12000049,2016-2019,Percent,Percent Of Adults,56,Summary activity levels: Meets recommendations,Female
S08000017,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39.6,Obesity: Obese,Female
S12000006,2015-2018,95% Lower Confidence Limit,Percent Of Adults,72.2,E-cigarette use: Never used,Female
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,46,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S12000013,2016-2019,Percent,Percent Of Adults,2,Summary activity levels: Low activity,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,67.1,Alcohol consumption: Moderate drinker,Female
S12000013,2016-2019,95% Lower Confidence Limit,Percent Of Adults,3.9,Self-assessed general health: Bad/Very bad,Female
S08000019,2016-2019,95% Upper Confidence Limit,Percent Of Adults,72.4,Fruit & vegetable consumption: Less than 5 portions,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,70.4,Overweight: Overweight (including obese),Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,60.2,Alcohol consumption: Moderate drinker,Female
S08000032,2015-2018,Percent,Percent Of Adults,67,Overweight: Overweight (including obese),Female
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,39.1,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,20.5,Fruit & vegetable consumption: 5 portions or more,Female
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,14.9,Fruit & vegetable consumption: 5 portions or more,Female
S12000013,2016-2019,Percent,Percent Of Adults,3,E-cigarette use: Currently using,Female
S08000032,2015-2018,Percent,Percent Of Adults,64,Alcohol consumption: Moderate drinker,Female
S12000013,2016-2019,95% Lower Confidence Limit,Percent Of Adults,76.5,Doctor-diagnosed asthma: No,Female
S12000013,2016-2019,95% Upper Confidence Limit,Percent Of Adults,92.8,E-cigarette use: Never used,Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,7.5,E-cigarette use: Ever previously used,Female
S12000013,2016-2019,95% Upper Confidence Limit,Percent Of Adults,89.1,Any cardiovascular condition: No cardiovascular condition,Female
S12000013,2016-2019,95% Lower Confidence Limit,Percent Of Adults,83.3,E-cigarette use: Never used,Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,62.7,Overweight: Overweight (including obese),Female
S08000016,2016-2019,95% Upper Confidence Limit,Percent Of Adults,22.4,Long-term illness: Non-limiting long-term illness,Female
S08000032,2016-2019,95% Lower Confidence Limit,WEMWBS Score,48.4,Mental wellbeing,Female
S12000013,2016-2019,95% Lower Confidence Limit,Percent Of Adults,0.6,Summary activity levels: Low activity,Female
S08000016,2016-2019,Percent,Percent Of Adults,40,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.7,Long-term illness: Non-limiting long-term illness,Female
S08000032,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.7,Summary activity levels: Some activity,Female
S08000032,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,Female
S12000013,2016-2019,Percent,Percent Of Adults,88,E-cigarette use: Never used,Female
S08000019,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,Female
S12000013,2016-2019,Percent,Percent Of Adults,70,Overweight: Overweight (including obese),Female
S12000013,2015-2018,95% Upper Confidence Limit,Percent Of Adults,4.4,E-cigarette use: Currently using,Female
S12000013,2015-2018,Percent,Percent Of Adults,33,Obesity: Obese,Female
S08000032,2015-2018,95% Upper Confidence Limit,Percent Of Adults,59.2,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000032,2015-2018,95% Lower Confidence Limit,Percent Of Adults,52.2,Smoking status: Never smoked/Used to smoke occasionally,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,13.6,E-cigarette use: Ever previously used,Female
S08000016,2015-2018,95% Lower Confidence Limit,Percent Of Adults,11,General health questionnaire (GHQ-12): Score 4+,Female
S08000032,2016-2019,Percent,Percent Of Adults,15,Summary activity levels: Some activity,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,17.9,Summary activity levels: Some activity,Female
S12000013,2016-2019,95% Lower Confidence Limit,Percent Of Adults,19.7,Summary activity levels: Very low activity,Female
S12000013,2015-2018,95% Lower Confidence Limit,Percent Of Adults,0.2,E-cigarette use: Currently using,Female
S08000016,2016-2019,Percent,Percent Of Adults,7,Self-assessed general health: Bad/Very bad,Female
S08000016,2016-2019,95% Lower Confidence Limit,Percent Of Adults,12.6,Summary activity levels: Very low activity,Female
S08000016,2015-2018,95% Upper Confidence Limit,Percent Of Adults,59,Long-term illness: No long-term illness,Female
S12000013,2016-2019,95% Upper Confidence Limit,Percent Of Adults,10.5,Self-assessed general health: Bad/Very bad,Female
S08000032,2016-2019,95% Upper Confidence Limit,Percent Of Adults,68.6,Alcohol consumption: Moderate drinker,Female
S12000013,2015-2018,95% Lower Confidence Limit,Percent Of Adults,5.5,Alcohol consumption: Hazardous/Harmful drinker,Female
S12000013,2015-2018,Percent,Percent Of Adults,67,Obesity: Not obese,Female
S12000013,2015-2018,Percent,Percent Of Adults,90,E-cigarette use: Never used,Female
S12000013,2015-2018,95% Upper Confidence Limit,Percent Of Adults,4.8,Summary activity levels: Low activity,Female
S08000032,2016-2019,Percent,Percent Of Adults,18,Fruit & vegetable consumption: 5 portions or more,Female
